zone,index,page,category,confidence,rationale,topics,topic_count,needs_review,mixed_flag
Zone 4A,287,104,Against proposed Zoning Changes,medium,Finds argument unconvincing,General opposition,1,yes,no
Zone 4A,288,104,Against proposed Zoning Changes,medium,Accepts density only with one parking per unit,Parking; Density,2,yes,no
Zone 4A,289,104,Neutral,low,Prefers ownership row home,Unclear or neutral,1,yes,no
Zone 4A,290,104,Against proposed Zoning Changes,high,Rejects apartment buildings and parking level,Parking; Density; Conditional or mixed response,3,no,yes
Zone 4A,291,104,Against proposed Zoning Changes,high,Against density and reduced parking,Parking; Density,2,no,no
Zone 4A,292,104,In Favor of proposed Zoning Changes,high,Supports more neighbors and housing options,General support,1,no,no
Zone 4A,293,104,Against proposed Zoning Changes,medium,Criticizes plan and parking restriction,Parking,1,yes,no
Zone 4A,294,104,Neutral,high,Not applicable,Unclear or neutral,1,no,no
Zone 4A,295,104,In Favor of proposed Zoning Changes,medium,Says changes seem reasonable,General support,1,yes,no
Zone 4A,296,104,Against proposed Zoning Changes,high,Rejects density ideology and multifamily,Density,1,no,no
Zone 4A,297,104,Against proposed Zoning Changes,high,Questions taller buildings,Building height,1,no,no
Zone 4A,298,104,Neutral,low,Raises parking and family living considerations,Parking,1,yes,no
Zone 4A,299,104,Against proposed Zoning Changes,high,Does not support changes,General support,1,no,no
Zone 4A,300,105,In Favor of proposed Zoning Changes,high,Supports recommendations,General support,1,no,no
Zone 4A,301,105,In Favor of proposed Zoning Changes,medium,Supports transit oriented development,Transit and walkability,1,yes,no
Zone 4A,302,105,In Favor of proposed Zoning Changes,high,Supports more transit oriented development,Transit and walkability,1,no,no
Zone 4A,303,105,In Favor of proposed Zoning Changes,high,Agrees,General support,1,no,no
